s1_name,s2_a_url,s3_location
株式会社 フレイムハーツ,https://www.green-japan.com/job/78443,東京都
株式会社 スタジオアートディンク,https://www.green-japan.com/job/79520,東京都
株式会社 ライフスポーツ,https://www.green-japan.com/job/81192,東京都
株式会社 コンセプトラボ,https://www.green-japan.com/job/95648,東京都
株式会社 SoWhat,https://www.green-japan.com/job/100289,東京都
株式会社 dual&Co.,https://www.green-japan.com/job/106125,青森県，岩手県，宮城県，秋田県，山形県，福島県，茨城県，栃木県，群馬県，新潟県，富山県，石川県，福井県，山梨県，長野県，岐阜県，静岡県，三重県，滋賀県，奈良県，和歌山県，鳥取県，島根県，岡山県，広島県，山口県，徳島県，香川県，愛媛県，高知県，佐賀県，長崎県，熊本県，大分県，宮崎県，鹿児島県，沖縄県
株式会社 スパイク・チュンソフト,https://www.green-japan.com/job/109663,東京都
株式会社 セガ,https://www.green-japan.com/job/110447,東京都
株式会社 Lcode,https://www.green-japan.com/job/114439,大阪府
株式会社 ジーン,https://www.green-japan.com/job/12216,大阪府
株式会社 スマイルマイスター,https://www.green-japan.com/job/30367,東京都
株式会社 ファーストロジック,https://www.green-japan.com/job/32272,東京都
株式会社 クリーチャーズ,https://www.green-japan.com/job/58503,東京都
株式会社 ラピス,https://www.green-japan.com/job/61089,東京都
株式会社 シンクジャム,https://www.green-japan.com/job/63339,東京都
株式会社 ProVision,https://www.green-japan.com/job/68352,東京都
monoAI technology 株式会社,https://www.green-japan.com/job/77405,東京都
株式会社 イグニッション・エム,https://www.green-japan.com/job/83861,大阪府
株式会社 アコードセブン,https://www.green-japan.com/job/88047,京都府
株式会社 イマジナ,https://www.green-japan.com/job/88925,東京都
株式会社 グリオグルーヴ,https://www.green-japan.com/job/93539,東京都
株式会社 アイフリーク モバイル,https://www.green-japan.com/job/97362,東京都
バウンディア 合同会社,https://www.green-japan.com/job/101699,埼玉県，千葉県，神奈川県
株式会社 ZIZAI,https://www.green-japan.com/job/102880,東京都
株式会社 ディンプス,https://www.green-japan.com/job/105704,東京都
株式会社 テクノソリューション,https://www.green-japan.com/job/106677,北海道，京都府，兵庫県，海外
株式会社 ケイブ,https://www.green-japan.com/job/98367,東京都
株式会社 SEデザイン,https://www.green-japan.com/job/104833,東京都
株式会社 テクノクリエイティブ,https://www.green-japan.com/job/113283,福岡県，佐賀県，長崎県，熊本県，大分県，宮崎県，鹿児島県
サマーバケーション 株式会社,https://www.green-japan.com/job/113947,大阪府
株式会社 トリサン,https://www.green-japan.com/job/18045,東京都，愛知県，大阪府
株式会社 NewsTech,https://www.green-japan.com/job/28290,東京都
株式会社 唐沢農機サービス,https://www.green-japan.com/job/35440,長野県
クローバーラボ 株式会社,https://www.green-japan.com/job/42095,大阪府
株式会社 ピラミッドフィルム クアドラ,https://www.green-japan.com/job/50716,東京都
アングー 株式会社,https://www.green-japan.com/job/54252,東京都
株式会社 アルヴィオン,https://www.green-japan.com/job/58713,大阪府
株式会社 クライマークス,https://www.green-japan.com/job/58894,東京都
株式会社 ヒューマンサイエンス,https://www.green-japan.com/job/60996,茨城県，東京都
株式会社 フロム・ソフトウェア,https://www.green-japan.com/job/82855,東京都
株式会社 博展,https://www.green-japan.com/job/84076,東京都
株式会社 ポケラボ,https://www.green-japan.com/job/21619,東京都
株式会社 人響社,https://www.green-japan.com/job/22991,東京都
株式会社 テラスカイ,https://www.green-japan.com/job/46231,東京都
株式会社 アイディス,https://www.green-japan.com/job/56587,東京都
株式会社 カーネル,https://www.green-japan.com/job/60800,京都府
株式会社 リーデックス,https://www.green-japan.com/job/70862,千葉県，東京都，神奈川県
楽天 株式会社,https://www.green-japan.com/job/71560,東京都
株式会社 DCG Entertainment,https://www.green-japan.com/job/98175,愛知県
株式会社 西日本新聞メディアラボ,https://www.green-japan.com/job/104802,福岡県
株式会社 FROM JAPAN,https://www.green-japan.com/job/107585,東京都
株式会社 ジークレスト,https://www.green-japan.com/job/113286,東京都
株式会社 イマジカデジタルスケープ,https://www.green-japan.com/job/113307,東京都
株式会社 パオン・ディーピー,https://www.green-japan.com/job/113179,東京都
株式会社 BIGBANG,https://www.green-japan.com/job/35943,東京都
株式会社 ディレクションシーズ,https://www.green-japan.com/job/46127,神奈川県
株式会社 ギークピクチュアズ,https://www.green-japan.com/job/48206,東京都
アエテ 株式会社,https://www.green-japan.com/job/56961,東京都
株式会社 イー・トラックス,https://www.green-japan.com/job/62143,京都府
株式会社 界グラフィックス,https://www.green-japan.com/job/84807,京都府
株式会社 はてな,https://www.green-japan.com/job/99562,東京都
アウル 株式会社,https://www.green-japan.com/job/108375,東京都
株式会社 ペリテック,https://www.green-japan.com/job/105568,群馬県
株式会社 博報堂アイ・スタジオ,https://www.green-japan.com/job/109707,東京都
株式会社 Brave group（旧名：Unlimited）,https://www.green-japan.com/job/109907,東京都
株式会社 プレイハート,https://www.green-japan.com/job/113103,東京都
株式会社 ソリッドレイ研究所,https://www.green-japan.com/job/42545,神奈川県
株式会社 フィラメント,https://www.green-japan.com/job/55600,東京都
ファンプレックス 株式会社,https://www.green-japan.com/job/70245,東京都
ｔ‐ｗａｙｓコンサルティング 株式会社,https://www.green-japan.com/job/72029,埼玉県，千葉県，東京都，神奈川県
株式会社 ボルテージ,https://www.green-japan.com/job/35479,東京都
株式会社 パレード,https://www.green-japan.com/job/51474,東京都
ハーバーハウス 株式会社,https://www.green-japan.com/job/56558,新潟県，長野県
株式会社 フォーデジット,https://www.green-japan.com/job/57389,東京都
有限会社 ウルクスヘブン,https://www.green-japan.com/job/68665,大阪府
株式会社 アイプラン,https://www.green-japan.com/job/76599,福岡県
株式会社 シェード,https://www.green-japan.com/job/79597,東京都
株式会社 ウェブレッジ,https://www.green-japan.com/job/84089,東京都
株式会社 BeatFit,https://www.green-japan.com/job/86200,東京都
株式会社 Resola,https://www.green-japan.com/job/88482,東京都
株式会社 ソルトワークス,https://www.green-japan.com/job/91782,北海道
株式会社 メディクルード,https://www.green-japan.com/job/98183,東京都
株式会社 アピリッツ,https://www.green-japan.com/job/25741,東京都
株式会社 バスキュール,https://www.green-japan.com/job/83540,東京都
レバレジーズ 株式会社,https://www.green-japan.com/job/94502,東京都
面白法人カヤック,https://www.green-japan.com/job/100043,神奈川県
メディアアクティブ 株式会社,https://www.green-japan.com/job/101482,東京都
株式会社 モバイルファクトリー,https://www.green-japan.com/job/110934,東京都
